id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26214081,Beacon Hill Two Bedroom,4020046,Krysti,,Beacon Hill,42.35946,-71.06416,Entire home/apt,220,91,4,2018-08-28,0.19,4,0
26235532,4A BU Med Ctr/NEU/HCC/south end sunny cozy room,41932249,Ann,,Roxbury,42.33634,-71.07786,Private room,77,91,31,2019-08-17,1.49,18,0
26246423,"Spacious Apt W/ Private Decks in Boston, JP",52165995,Brian,,Jamaica Plain,42.31195,-71.10121,Entire home/apt,150,91,7,2018-10-08,0.33,1,0
26276722,Summer Sublet in the South End,10701411,Courtney,,South End,42.34214,-71.08156,Private room,55,91,4,2018-08-12,0.19,1,0
26280370,Boston Commons Condos 2BD/2BA 3,8534462,Corp Condos & Apts,,Downtown,42.35428,-71.06057,Entire home/apt,400,91,8,2019-12-21,0.41,116,358
26280467,Boston Commons Condos 2BD/2BA 2,8534462,Corp Condos & Apts,,Downtown,42.35397,-71.06075,Entire home/apt,400,91,11,2020-01-02,0.51,116,361
26280557,Boston Commons Condos 2BD/2BA 4,8534462,Corp Condos & Apts,,Downtown,42.35469,-71.06118,Entire home/apt,400,91,6,2019-10-02,0.29,116,352
26333739,"Classy, Cozy South End Unit",119265681,Maude,,South End,42.34357,-71.07022,Entire home/apt,250,29,43,2019-10-21,2.20,2,256
26360101,H-kingdom | Smart Home | Cozy renovated,73201898,Hanqing,,East Boston,42.38931,-70.99595,Private room,86,2,55,2020-01-01,2.57,1,335
26361101,One Bedroom in the heart of Back Bay #307,18202088,Luxurious,,Back Bay,42.34677,-71.07839,Entire home/apt,289,91,7,2019-05-24,0.36,18,0
26361743,2 Bedroom in Boston's Back Bay! #203,18202088,Luxurious,,Back Bay,42.34647,-71.0781,Entire home/apt,289,91,4,2019-06-01,0.19,18,0
26366385,Spacious bedroom in Dorchester (#2),188413439,Hilson,,Dorchester,42.30585,-71.06705,Private room,48,1,67,2019-11-11,3.11,4,69
26366570,Twin bedroom in Dorchester (#3),188413439,Hilson,,Dorchester,42.30661,-71.06706,Private room,48,1,109,2020-03-22,5.06,4,71
26369295,Cozy bedroom in Dorchester (#4),188413439,Hilson,,Dorchester,42.30726,-71.06658,Private room,48,1,120,2020-03-20,5.61,4,70
26395595,Separate entrance in-law suite in heart of JP,145681148,Marianne,,Jamaica Plain,42.30567,-71.11628,Entire home/apt,90,1,84,2020-03-15,3.93,2,48
26418311,Comfortable Living Room Near Everything,39730545,Vincent,,South End,42.34493,-71.06691,Private room,150,1,45,2020-03-14,2.25,2,88
26422402,1 Bedroom Apartment in Beautiful Victorian,3843462,Eric,,Dorchester,42.29206,-71.04994,Entire home/apt,100,2,43,2019-11-30,2.30,2,176
26423316,Charming Convenience (10 min T ride into Downtown),198679236,Maria,,Dorchester,42.31573,-71.05801,Private room,73,1,96,2019-12-29,4.51,2,268
26429376,"Private room, 5 mins to Airport & Train Station",17658696,Stephen,,East Boston,42.37408,-71.0339,Private room,60,1,61,2019-08-25,3.05,1,0
26452180,Sonder | Albany | Beautiful 2BR,12243051,Sonder,,South End,42.33773,-71.06796,Entire home/apt,124,30,29,2020-01-21,1.36,176,12
26453232,Modern Parkside Smart Home,30732884,Jeffery,,Dorchester,42.29078,-71.06551,Entire home/apt,195,32,3,2020-01-03,0.26,2,365
26502776,⚜ Lux Penthouse⚜Walk to MGH⚜Sanitized⚜Laundry,59234220,Lara,,Beacon Hill,42.35752,-71.07121,Entire home/apt,189,28,16,2019-12-20,0.78,8,100
26520456,Sparkling Clean Penthouse Condo w/Parking!,154444364,Elizabeth,,South Boston,42.33496,-71.05422,Entire home/apt,172,30,0,,,1,14
26528105,⚜Ace Location⚜Luxury⚜Fully Sanitized⚜Walk to MGH,59234220,Lara,,Beacon Hill,42.35767,-71.06973,Entire home/apt,149,28,22,2019-05-05,1.07,8,1
26532751,"SUMMER STAY, GREAT for Intern students/business",156053359,Ken,,Dorchester,42.2901,-71.06848,Private room,45,91,3,2019-07-25,0.16,8,179
26640934,Private room&bathroom. 20min to Center of Boston,188582312,Dania,,West Roxbury,42.28448,-71.16078,Private room,45,1,90,2020-03-09,4.33,1,149
26655662,"Cozy Room (10 min T ride to Downton, Boston)",198679236,Maria,,Dorchester,42.31563,-71.05704,Private room,63,1,85,2020-03-11,3.98,2,259
26656189,Single Family House in heart of South Boston,21538402,Kayla,,South Boston,42.33379,-71.04728,Entire home/apt,399,2,9,2020-03-16,0.42,1,360
26660947,Sonder | Albany | Welcoming 1BR,12243051,Sonder,,South End,42.33802,-71.06796,Entire home/apt,94,30,12,2020-01-10,0.61,176,0
26661682,Sonder | Albany | Lovely 2BR,12243051,Sonder,,South End,42.33688,-71.068,Entire home/apt,120,30,11,2019-11-04,0.54,176,12
26662386,Sonder | Albany | Tranquil 2BR,12243051,Sonder,,South End,42.33664,-71.06782,Entire home/apt,124,30,14,2019-11-21,0.70,176,0
26719839,Spacious Two Bedroom Apartment. Free Parking &Wifi,200926376,Blerina,,Roxbury,42.31169,-71.08825,Entire home/apt,82,1,206,2020-03-23,9.63,1,192
26748319,Sonder | Boston Common | Timeless 2BR,12243051,Sonder,,Downtown,42.35125,-71.06357,Entire home/apt,129,30,22,2019-12-19,1.16,176,139
26750505,#201 Boston Private AC Twin BR 免费咖啡 禁烟,105851798,Anne,,Dorchester,42.30935,-71.0659,Private room,45,91,19,2019-09-21,0.92,22,90
26753806,5⭐Eco 1 BR+ MGH +Medical Discount+Free Parking,11410590,Nika & Tony,,Charlestown,42.37508,-71.06278,Entire home/apt,100,1,91,2020-03-13,4.35,3,129
26759283,Boston Commons Condos 1BD 7,8534462,Corp Condos & Apts,,Downtown,42.35233,-71.06468,Entire home/apt,199,1,5,2018-10-24,0.23,116,77
26778454,"JP Ready For Nurses/Doctors, Monthly Discounts!",43613912,Drew,,Jamaica Plain,42.30617,-71.10549,Entire home/apt,125,31,3,2019-08-10,0.15,3,137
26778714,5 ★ Second Floor with Everything,5430185,Laura And Olivia,,South End,42.34291,-71.07301,Entire home/apt,150,2,25,2020-03-02,1.56,7,99
26828892,Shelly's Swan Room,139072570,Lance And Shelly,,East Boston,42.38137,-71.02311,Private room,70,1,204,2020-03-24,9.61,5,297
26835473,Magnificent Medical 1BR Apt at Mass General!!,163251048,Jen,,West End,42.36502,-71.0686,Entire home/apt,249,3,2,2019-01-29,0.13,48,184
26893347,★10 min to Downtown★,202301643,Pinar&Kubra,,South Boston,42.33,-71.05863,Private room,45,91,80,2019-12-31,4.10,2,169
26893801,Art Room (Near Subway - 2 stops from downtown),202301643,Pinar&Kubra,,South Boston,42.33138,-71.05696,Private room,74,91,82,2019-11-28,4.17,2,11
26987642,Sunny Spot on St Botolph!,76545076,Missy,,Back Bay,42.34407,-71.08115,Entire home/apt,200,91,56,2019-10-13,2.72,13,0
26997440,4D - south end/BU Med/NEU/Haynes Convention,41932249,Ann,,Roxbury,42.33695,-71.0786,Private room,80,91,48,2019-09-01,2.26,18,0
27074605,COLLEGE STUDENTS are welcome 3 MINS walk to train,156053359,Ken,,Dorchester,42.29107,-71.06637,Private room,45,91,3,2019-08-31,0.26,8,178
27104136,Brand new room with FREE breakfast and parking,188551199,Olga,,Dorchester,42.32608,-71.05827,Private room,239,1,47,2020-03-01,2.27,7,344
27112752,2BR Ideally Located Top Floor Brownstone Condo,53212424,Jason,,Brighton,42.33557,-71.14956,Entire home/apt,109,91,14,2019-07-10,1.15,1,0
27128200,New room with a great location and FREE breakfast,188551199,Olga,,Dorchester,42.32821,-71.05983,Private room,229,1,9,2019-09-07,0.44,7,349
27152264,Dearborn STEM Academy,13499840,Dean,,Roxbury,42.3278,-71.08125,Private room,45,91,2,2019-06-30,0.16,1,362
27158560,Clean&Private Bedroom/Bath walk to BCEC! Park opt!,42530911,Eda,,South Boston,42.33212,-71.03885,Private room,140,2,52,2020-03-08,2.51,1,227
27168524,Classic Boston Brownstone - Walk to Everything,3236168,Von,,South End,42.34653,-71.07302,Private room,111,1,143,2020-03-17,6.99,3,62
27172096,Welcoming Eco-Friendly Historic Home #1,1091732,Deacon,,Jamaica Plain,42.3106,-71.11111,Private room,60,2,25,2020-03-09,1.19,2,244
27197821,Cozy Room 2 Close to downtown & seaport district.,155919128,Erico,,Dorchester,42.30892,-71.07935,Private room,44,1,91,2020-03-18,4.46,3,302
27203329,"Private parking, clean, comfy room@3",183805757,Claire,,East Boston,42.36908,-71.03937,Private room,81,2,97,2020-03-18,4.74,3,40
27233115,"Close to T stop, no clean fee, 1 Free Parkng Space",53765664,Karen,,Dorchester,42.32067,-71.05607,Private room,53,1,88,2020-03-12,4.21,1,0
27258229,"Quiet, clean South End charmer with exposed brick",37408357,Mark,,South End,42.34426,-71.07342,Entire home/apt,200,2,32,2019-12-31,1.55,1,4
27261969,2 Rooms with views in Eco-Friendly Historic Home,1091732,Deacon,,Jamaica Plain,42.31127,-71.11282,Private room,80,2,5,2018-11-04,0.27,2,258
27286080,Boston,202522408,Hopeton,,Mattapan,42.27206,-71.08872,Private room,100,91,3,2019-09-02,0.16,1,358
27323777,Vintage Studio in Beacon Hill. Walk Everywhere,95634275,Sophia,,Beacon Hill,42.36005,-71.06529,Entire home/apt,168,11,65,2020-03-15,3.15,2,294
27339519,Home away from home for 1st Responders,202862511,Frank & Delilah,,Roxbury,42.32907,-71.09646,Entire home/apt,150,2,112,2020-03-08,5.49,1,179
27370560,Clarita's Place 2,148305529,Clara M,,Brighton,42.35836,-71.14214,Private room,75,1,44,2019-11-10,2.13,3,364
27370693,Clarita's Place 4,148305529,Clara M,,Brighton,42.35878,-71.14249,Private room,75,1,39,2019-11-09,1.93,3,364
27371158,Cozy Room 1 Close to downtown & seaport district.,155919128,Erico,,Dorchester,42.30706,-71.08048,Private room,44,1,98,2020-03-31,4.80,3,315
27371399,Clean and Modern 1 BR Guest Suite in the South End,204612202,Mike And Toni,,South End,42.33875,-71.07533,Entire home/apt,200,2,10,2019-10-22,0.90,1,0
27394276,Sun filled private room in spacious Boston home.,163838367,Jamie,,Jamaica Plain,42.31943,-71.11288,Private room,45,91,13,2019-06-24,0.63,1,0
27399137,地铁边上的小单房,63906798,Sulian,,Dorchester,42.31697,-71.05173,Private room,50,91,9,2019-08-28,1.02,1,181
27404136,Sunny 2 Bedroom in Longwood Area,20079643,Alex @ Boston Corporate Housing,,Mission Hill,42.33351,-71.10182,Entire home/apt,295,20,1,2019-11-06,0.19,19,158
27428142,JP Home for families - Garage Parking Inc!,13960633,Charles,,Jamaica Plain,42.29833,-71.1104,Private room,175,2,3,2019-09-02,0.15,2,14
27429577,Secluded Tower Home in Bright Castle,63270976,Peter,,Allston,42.35299,-71.14075,Entire home/apt,175,1,235,2020-03-15,11.91,1,43
27457542,WoW!! Boston Bluebird Modern 2BD by MBTA Bus!,95459395,Bluebird,,Mission Hill,42.33153,-71.11099,Entire home/apt,499,9,0,,,42,185
27459736,"Lux 2BR 1BA Apt w/rooftop deck, gym, WiFi",9419684,Mike,,Mission Hill,42.33099,-71.11122,Entire home/apt,199,29,1,2018-11-11,0.06,59,212
27459741,"Lux 2BR 1BA Apt w/rooftop deck, gym, WiFi",9419684,Mike,,Mission Hill,42.33088,-71.11242,Entire home/apt,199,29,0,,,59,212
27459746,"Lux 2BR 1BA Apt w/rooftop deck, gym, WiFi",9419684,Mike,,Mission Hill,42.33043,-71.11301,Entire home/apt,199,29,1,2018-10-07,0.05,59,212
27459750,"Lux 2BR 1BA Apt w/rooftop deck, gym, WiFi",9419684,Mike,,Mission Hill,42.33108,-71.11148,Entire home/apt,199,29,1,2018-10-21,0.06,59,212
27460321,"Lux 2BR 1BA Apt w/rooftop deck, gym, WiFi",9419684,Mike,,Mission Hill,42.33226,-71.11264,Entire home/apt,199,29,1,2018-11-18,0.06,59,212
27461009,"Lux 2BR 2BA Apt w/rooftop deck, gym, WiFi",9419684,Mike,,Mission Hill,42.33034,-71.11114,Entire home/apt,199,29,0,,,59,207
27461431,"Lux 2BR 2BA Apt w/rooftop deck, gym, WiFi",9419684,Mike,,Mission Hill,42.33246,-71.11234,Entire home/apt,199,29,0,,,59,212
27461511,"Lux 2BR 2BA Apt w/rooftop deck, gym, WiFi",9419684,Mike,,Mission Hill,42.33202,-71.11231,Entire home/apt,199,29,2,2019-11-10,0.10,59,207
27461905,"Lux 2BR 2BA Apt w/rooftop deck, gym, WiFi",9419684,Mike,,Mission Hill,42.33087,-71.11147,Entire home/apt,199,29,1,2019-04-14,0.08,59,212
